name,image_url,price,original_price
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284223323904,NZ$219.95,NZ$270.00
Nike Shox TL - Men Shoes,https://images.footlocker.com/is/image/FLEU/314205394704,NZ$199.95,NZ$270.00
Nike Field General - Men Shoes,https://images.footlocker.com/is/image/FLEU/244310609904,NZ$49.95,NZ$190.00
Nike Field General Ltr - Men Shoes,https://images.footlocker.com/is/image/FLEU/284310629304,NZ$69.95,NZ$200.00
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284223322104,NZ$159.95,NZ$270.00
Nike Killshot 2 Leather - Men Shoes,https://images.footlocker.com/is/image/FLEU/244310636204,NZ$39.95,NZ$190.00
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/244222469504,NZ$159.95,NZ$270.00
Nike Dunk Low - Women Shoes,https://images.footlocker.com/is/image/FLEU/315349367102,NZ$119.95,NZ$190.00
Nike Lebron 22 Prime 93 - Men Shoes,https://images.footlocker.com/is/image/FLEU/244105560304,NZ$139.95,NZ$310.00
Nike Field General - Men Shoes,https://images.footlocker.com/is/image/FLEU/314312293104,NZ$79.95,NZ$200.00
Nike Killshot 2 Leather - Men Shoes,https://images.footlocker.com/is/image/FLEU/244310634704,NZ$49.95,NZ$180.00
Nike Lebron 22 Prime 96 - Men Shoes,https://images.footlocker.com/is/image/FLEU/314109157504,NZ$139.95,NZ$310.00
Nike Book 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284105732404,NZ$119.95,NZ$240.00
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/244223351404,NZ$179.95,NZ$270.00
Nike P-6000 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284223315504,NZ$139.95,NZ$190.00
Nike Air Max 90 - Grade School Shoes,https://images.footlocker.com/is/image/FLEU/316706359904,NZ$89.95,NZ$180.00
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284223362704,NZ$119.95,NZ$270.00
Nike Gato - Men Shoes,https://images.footlocker.com/is/image/FLEU/244310679204,NZ$49.95,NZ$190.00
Nike LeBron Witness 8 - Men Shoes,https://images.footlocker.com/is/image/FLEU/284105555904,NZ$79.95,NZ$180.00
Nike Air Force 1 LV8 - Grade School Shoes,https://images.footlocker.com/is/image/FLEU/286782980404,NZ$89.95,NZ$190.00
Nike Tuned 1 - Men Shoes,https://images.footlocker.com/is/image/FLEU/244223307604,NZ$199.95,NZ$270.00
Nike Shox Z - Women Shoes,https://images.footlocker.com/is/image/FLEU/245242440302,NZ$149.95,NZ$220.00
Nike G.T Hustle Academy - Men Shoes,https://images.footlocker.com/is/image/FLEU/244105760904,NZ$79.95,NZ$170.00
Nike Air Force 1 - Grade School Shoes,https://images.footlocker.com/is/image/FLEU/316706402704,NZ$69.95,NZ$170.00
Nike G.T Jump Academy - Men Shoes,https://images.footlocker.com/is/image/FLEU/284105531004,NZ$49.95,NZ$140.00
Nike Air Max 270 - Grade School Shoes,https://images.footlocker.com/is/image/FLEU/316731456204,NZ$99.95,NZ$200.00
